M/Z,Intensity
6.6802177,5.6823529
6.7348249,5.8
6.7896544,5.8705882
6.8447062,5.8823529
6.8999803,5.8823529
6.9554767,5.8823529
7.0111954,5.8823529
7.0671363,5.8823529
7.1232995,5.8823529
7.179685,5.8705882
7.2362928,5.8588235
7.2931229,5.8078431
7.3501753,5.7529412
7.4074499,5.6901961
7.4649469,5.6235294
7.5226661,5.572549
7.5806076,5.5490196
7.6387714,5.5686275
7.6971575,5.6039216
7.7557658,5.6862745
7.8145965,5.8
7.8736494,5.8588235
7.9329246,5.8784314
7.9924221,5.8823529
8.0521419,5.8823529
8.112084,5.8862745
8.1722484,5.8901961
8.232635,5.9058824
8.2932439,5.9137255
8.3540751,5.9019608
8.4151286,5.8862745
8.4764044,5.8823529
8.5379025,5.8823529
8.5996228,5.8784314
8.6615655,5.8627451
8.7237304,5.7960784
8.7861176,5.6352941
8.8487271,5.5215686
8.9115589,5.3764706
8.9746129,5.2823529
9.0378893,5.172549
9.1013879,5.1176471
9.1651088,5.1215686
9.229052,5.1215686
9.2932175,5.1803922
9.3576053,5.3411765
9.4222153,5.6196078
9.4870477,5.8509804
9.5521023,5.8784314
9.6173792,5.8352941
9.6828784,5.8509804
9.7485999,5.9019608
9.8145437,6.0313725
9.8807097,6.1568627
9.947098,6.0392157
10.013709,5.945098
10.080542,6.0196078
10.147597,6.1372549
10.214874,6.1215686
10.282374,5.9019608
10.350096,5.7803922
10.41804,5.8313725
10.486207,5.8470588
10.554596,5.7568627
10.623207,5.4666667
10.692041,5.3176471
10.761096,5.3803922
10.830374,5.454902
10.899875,5.4196078
10.969597,5.2156863
11.039542,5.2156863
11.109709,5.3176471
11.180099,5.5176471
11.250711,5.545098
11.321545,5.5333333
11.392601,5.5843137
11.46388,5.7764706
11.53538,5.8666667
11.607104,5.8784314
11.679049,5.8588235
11.751217,5.8588235
11.823607,5.8745098
11.896219,5.8823529
11.969054,5.8823529
12.042111,5.8666667
12.11539,5.8470588
12.188891,5.8588235
12.262615,5.8745098
