M/Z,Intensity
6.6802177,5.6509804
6.7348249,5.7843137
6.7896544,5.8509804
6.8447062,5.854902
6.8999803,5.8666667
6.9554767,5.8823529
7.0111954,5.8901961
7.0671363,5.8901961
7.1232995,5.8823529
7.179685,5.8784314
7.2362928,5.8588235
7.2931229,5.8196078
7.3501753,5.7882353
7.4074499,5.7176471
7.4649469,5.6509804
7.5226661,5.6039216
7.5806076,5.5764706
7.6387714,5.5764706
7.6971575,5.5882353
7.7557658,5.6588235
7.8145965,5.7882353
7.8736494,5.8588235
7.9329246,5.8705882
7.9924221,5.8823529
8.0521419,5.8862745
8.112084,5.8901961
8.1722484,5.8941176
8.232635,5.9098039
8.2932439,5.8980392
8.3540751,5.8941176
8.4151286,5.8901961
8.4764044,5.8862745
8.5379025,5.8862745
8.5996228,5.8784314
8.6615655,5.8784314
8.7237304,5.8470588
8.7861176,5.6705882
8.8487271,5.4941176
8.9115589,5.3882353
8.9746129,5.2745098
9.0378893,5.1960784
9.1013879,5.1607843
9.1651088,5.1411765
9.229052,5.1372549
9.2932175,5.1882353
9.3576053,5.3843137
9.4222153,5.6588235
9.4870477,5.8588235
9.5521023,5.8431373
9.6173792,5.8039216
9.6828784,5.8313725
9.7485999,5.9019608
9.8145437,6.0352941
9.8807097,6.1294118
9.947098,6.0156863
10.013709,5.9686275
10.080542,6.0509804
10.147597,6.1764706
10.214874,6.1019608
10.282374,5.9019608
10.350096,5.8352941
10.41804,5.8705882
10.486207,5.8705882
10.554596,5.7372549
10.623207,5.4196078
10.692041,5.3294118
10.761096,5.427451
10.830374,5.4745098
10.899875,5.3686275
10.969597,5.1882353
11.039542,5.1921569
11.109709,5.3372549
11.180099,5.4823529
11.250711,5.5098039
11.321545,5.5019608
11.392601,5.5764706
11.46388,5.7529412
11.53538,5.8627451
11.607104,5.8588235
11.679049,5.8705882
11.751217,5.8784314
11.823607,5.8823529
11.896219,5.8745098
11.969054,5.8627451
12.042111,5.8627451
12.11539,5.8627451
12.188891,5.8705882
12.262615,5.8784314
12.336561,5.8784314
12.410729,5.8784314
12.48512,5.8745098
12.559733,5.8156863
12.634568,5.7098039
12.709625,5.5294118
12.784905,5.5294118
12.860407,5.6196078
12.936131,5.7764706
13.012078,5.8392157
13.088247,5.8470588
13.164638,5.854902
13.241252,5.8705882
13.318087,5.8745098
13.395145,5.8745098
13.472426,5.8823529
13.549928,5.8784314
13.627653,5.8784314
13.7056,5.8784314
13.78377,5.8705882
13.862161,5.8666667
13.940775,5.8823529
14.019612,5.8901961
14.09867,5.8862745
14.177951,5.8588235
14.257454,5.8352941
14.33718,5.7921569
14.417127,5.7137255
14.497297,5.6039216
14.57769,5.5411765
14.658304,5.5176471
14.739141,5.5215686
14.8202,5.5411765
14.901482,5.5686275
14.982985,5.5568627
15.064711,5.5803922
15.14666,5.6666667
15.22883,5.8117647
15.311223,5.8666667
15.393838,5.8784314
15.476676,5.8784314
15.559735,5.8862745
15.643017,5.8901961
15.726522,5.8862745
15.810248,5.8823529
15.894197,5.8823529
15.978368,5.8862745
16.062762,5.8862745
16.147377,5.8823529
16.232215,5.8823529
16.317276,5.8784314
16.402558,5.8745098
16.488063,5.8666667
16.57379,5.8352941
16.65974,5.7921569
16.745911,5.7254902
16.832305,5.6666667
16.918921,5.6039216
17.00576,5.5568627
17.092821,5.5137255
17.180104,5.5058824
17.267609,5.5215686
17.355337,5.5411765
17.443287,5.6392157
17.531459,5.6980392
17.619854,5.7647059
17.708471,5.827451
17.79731,5.8627451
17.886371,5.8784314
17.975655,5.8784314
18.065161,5.8823529
18.154889,5.8823529
18.24484,5.8823529
18.335013,5.8823529
18.425408,5.8823529
18.516025,5.8784314
18.606865,5.8745098
18.697927,5.8666667
18.789211,5.8627451
18.880717,5.8705882
18.972446,5.8470588
19.064397,5.827451
19.156571,5.7882353
19.248966,5.7490196
19.341584,5.7490196
19.434425,5.745098
19.527487,5.7647059
19.620772,5.8117647
19.714279,5.8313725
19.808008,5.8666667
19.90196,5.8784314
19.996134,5.8784314
20.09053,5.8784314
20.185149,5.8745098
20.27999,5.8784314
20.375053,5.8823529
20.470338,5.8823529
20.565846,5.8823529
20.661576,5.8823529
20.757528,5.8823529
20.853703,5.8823529
20.950099,5.8823529
21.046718,5.8784314
21.14356,5.8627451
21.240623,5.8431373
21.337909,5.8156863
21.435418,5.7803922
21.533148,5.7647059
21.631101,5.7254902
21.729276,5.7294118
21.827673,5.745098
21.926293,5.7490196
22.025135,5.7686275
22.124199,5.7882353
22.223486,5.8235294
22.322995,5.8431373
22.422726,5.8666667
22.522679,5.8784314
22.622855,5.8823529
22.723253,5.8823529
22.823873,5.8823529
22.924715,5.8823529
23.02578,5.8823529
23.127067,5.8823529
23.228577,5.8823529
23.330308,5.8823529
23.432262,5.8823529
23.534438,5.8823529
23.636837,5.8745098
23.739458,5.8666667
23.842301,5.8431373
23.945366,5.8235294
24.048654,5.7803922
24.152164,5.7568627
24.255896,5.7215686
24.35985,5.7058824
24.464027,5.6862745
24.568426,5.6823529
24.673047,5.7137255
24.777891,5.7294118
24.882957,5.7882353
24.988245,5.8196078
25.093756,5.8588235
25.199489,5.8705882
25.305444,5.8745098
25.411621,5.8784314
25.518021,5.8823529
25.624642,5.8823529
25.731487,5.8823529
25.838553,5.8823529
25.945842,5.8823529
26.053353,5.8823529
26.161086,5.8823529
26.269042,5.8823529
26.37722,5.8745098
26.48562,5.8784314
26.594243,5.8784314
26.703087,5.8823529
26.812154,5.8588235
26.921444,5.8509804
27.030955,5.8313725
27.140689,5.8235294
27.250645,5.8117647
27.360824,5.8078431
27.471225,5.8235294
27.581848,5.8352941
27.692693,5.854902
27.803761,5.8627451
27.91505,5.8666667
28.026563,5.8705882
28.138297,5.8823529
28.250254,5.8862745
28.362433,5.8862745
28.474834,5.8823529
28.587458,5.8823529
28.700304,5.8823529
28.813372,5.8784314
28.926662,5.8745098
29.040175,5.8745098
29.15391,5.8745098
29.267867,5.8784314
29.382047,5.8705882
29.496449,5.8627451
29.611073,5.8509804
29.72592,5.8470588
29.840988,5.8392157
29.956279,5.8470588
30.071793,5.8352941
30.187528,5.8392157
30.303486,5.8431373
30.419666,5.854902
30.536069,5.8431373
30.652694,5.8470588
30.769541,5.8627451
30.88661,5.8823529
31.003901,5.8862745
31.121415,5.8862745
31.239151,5.8823529
31.35711,5.8823529
31.475291,5.8784314
31.593694,5.8784314
31.712319,5.8823529
31.831167,5.8823529
31.950236,5.8823529
32.069529,5.8823529
32.189043,5.8823529
32.30878,5.8823529
32.428739,5.8705882
32.54892,5.8627451
32.669324,5.8470588
32.78995,5.8313725
32.910798,5.8352941
33.031868,5.8392157
33.153161,5.827451
33.274676,5.8235294
33.396413,5.8352941
33.518373,5.8431373
33.640555,5.8509804
33.762959,5.8588235
33.885585,5.854902
34.008434,5.8745098
34.131505,5.8784314
34.254798,5.8784314
34.378314,5.8784314
34.502052,5.8823529
34.626012,5.8823529
34.750194,5.8823529
34.874599,5.8823529
34.999226,5.8823529
35.124075,5.8823529
35.249147,5.8823529
35.374441,5.8823529
35.499957,5.8745098
35.625695,5.8745098
35.751656,5.8705882
35.877839,5.8705882
36.004244,5.8627451
36.130872,5.8705882
36.257721,5.8705882
36.384794,5.8588235
36.512088,5.8588235
36.639605,5.854902
36.767344,5.8588235
36.895305,5.8627451
37.023489,5.8627451
37.151894,5.8745098
37.280523,5.8862745
37.409373,5.8862745
37.538446,5.8823529
37.667741,5.8784314
37.797258,5.8705882
37.926997,5.8745098
38.056959,5.8745098
38.187143,5.8784314
38.31755,5.8784314
38.448178,5.8705882
38.579029,5.8745098
38.710103,5.8784314
38.841398,5.8666667
38.972916,5.8666667
39.104656,5.8666667
39.236619,5.8627451
39.368803,5.8588235
39.50121,5.8509804
39.63384,5.8509804
39.766691,5.8509804
39.899765,5.8470588
40.033061,5.8431373
40.166579,5.8431373
40.30032,5.8627451
40.434283,5.8823529
40.568468,5.8823529
40.702876,5.8862745
40.837506,5.8784314
40.972358,5.8745098
41.107432,5.8745098
41.242729,5.8745098
41.378248,5.8823529
41.513989,5.8784314
41.649953,5.8784314
41.786138,5.8745098
41.922546,5.8705882
42.059177,5.8666667
42.196029,5.8745098
42.333104,5.8745098
42.470402,5.8705882
42.607921,5.8745098
42.745663,5.8705882
42.883627,5.8431373
43.021813,5.8352941
43.160222,5.8352941
43.298853,5.8666667
43.437706,5.8745098
43.576782,5.8745098
43.71608,5.8745098
43.8556,5.8705882
43.995342,5.8705882
44.135307,5.8745098
44.275494,5.8745098
44.415903,5.8784314
44.556534,5.8823529
44.697388,5.8823529
44.838464,5.8823529
44.979763,5.8784314
45.121283,5.8705882
45.263026,5.8745098
45.404992,5.8784314
45.547179,5.8784314
45.689589,5.8784314
45.832221,5.8784314
45.975075,5.8745098
46.118152,5.8745098
46.261451,5.8784314
46.404972,5.8705882
46.548716,5.8509804
46.692681,5.854902
46.836869,5.854902
46.98128,5.8431373
47.125912,5.8352941
