M/Z,Intensity
6.6802177,5.7098039
6.7348249,5.7921569
6.7896544,5.8509804
6.8447062,5.8745098
6.8999803,5.8823529
6.9554767,5.8862745
7.0111954,5.8862745
7.0671363,5.8862745
7.1232995,5.8823529
7.179685,5.8666667
7.2362928,5.8392157
7.2931229,5.7921569
7.3501753,5.7490196
7.4074499,5.6509804
7.4649469,5.627451
7.5226661,5.5764706
7.5806076,5.5568627
7.6387714,5.5803922
7.6971575,5.5960784
7.7557658,5.6745098
7.8145965,5.7882353
7.8736494,5.8627451
7.9329246,5.8823529
7.9924221,5.8823529
8.0521419,5.8823529
8.112084,5.8862745
8.1722484,5.8941176
8.232635,5.9137255
8.2932439,5.9019608
8.3540751,5.9098039
8.4151286,5.9058824
8.4764044,5.8862745
8.5379025,5.8784314
8.5996228,5.8705882
8.6615655,5.8352941
8.7237304,5.7803922
8.7861176,5.6313725
8.8487271,5.4941176
8.9115589,5.3647059
8.9746129,5.2509804
9.0378893,5.1686275
9.1013879,5.1176471
9.1651088,5.1294118
9.229052,5.1607843
9.2932175,5.2078431
9.3576053,5.3803922
9.4222153,5.6823529
9.4870477,5.8745098
9.5521023,5.8509804
9.6173792,5.8235294
9.6828784,5.8470588
9.7485999,5.9098039
9.8145437,6.054902
9.8807097,6.1529412
9.947098,6.0156863
10.013709,5.9607843
10.080542,6.0078431
10.147597,6.1254902
10.214874,6.0862745
10.282374,5.8705882
10.350096,5.8156863
10.41804,5.8313725
10.486207,5.8509804
10.554596,5.7372549
10.623207,5.4039216
10.692041,5.2941176
10.761096,5.3843137
10.830374,5.4666667
10.899875,5.4117647
10.969597,5.2235294
11.039542,5.2156863
11.109709,5.3803922
11.180099,5.5294118
11.250711,5.5411765
11.321545,5.5372549
11.392601,5.6078431
11.46388,5.7686275
11.53538,5.8588235
11.607104,5.8588235
11.679049,5.8627451
11.751217,5.8666667
11.823607,5.8784314
11.896219,5.8862745
11.969054,5.8862745
12.042111,5.8862745
12.11539,5.8705882
12.188891,5.8745098
12.262615,5.8784314
12.336561,5.8745098
12.410729,5.8745098
12.48512,5.8705882
12.559733,5.8313725
12.634568,5.745098
12.709625,5.4980392
12.784905,5.4470588
12.860407,5.5803922
12.936131,5.7647059
13.012078,5.827451
13.088247,5.8352941
13.164638,5.8588235
13.241252,5.8666667
13.318087,5.8705882
13.395145,5.8745098
13.472426,5.8784314
13.549928,5.8784314
13.627653,5.8862745
13.7056,5.8823529
13.78377,5.8823529
13.862161,5.8745098
13.940775,5.8509804
14.019612,5.8627451
14.09867,5.8627451
14.177951,5.854902
14.257454,5.827451
14.33718,5.7568627
14.417127,5.6823529
14.497297,5.6
14.57769,5.5137255
14.658304,5.4941176
14.739141,5.5019608
14.8202,5.5294118
14.901482,5.5490196
14.982985,5.572549
15.064711,5.6078431
15.14666,5.6823529
15.22883,5.8117647
15.311223,5.8705882
15.393838,5.8823529
15.476676,5.8823529
15.559735,5.8823529
15.643017,5.8862745
15.726522,5.8862745
15.810248,5.8941176
15.894197,5.8941176
15.978368,5.8823529
16.062762,5.8823529
16.147377,5.8745098
16.232215,5.8745098
16.317276,5.8784314
16.402558,5.8784314
16.488063,5.8784314
16.57379,5.827451
16.65974,5.7843137
16.745911,5.7058824
16.832305,5.6117647
16.918921,5.5960784
17.00576,5.5490196
17.092821,5.5294118
17.180104,5.5333333
17.267609,5.545098
17.355337,5.5764706
17.443287,5.6627451
17.531459,5.745098
17.619854,5.8039216
17.708471,5.8470588
17.79731,5.854902
17.886371,5.8823529
17.975655,5.8862745
18.065161,5.8823529
18.154889,5.8823529
18.24484,5.8823529
18.335013,5.8823529
18.425408,5.8823529
18.516025,5.8823529
18.606865,5.8823529
18.697927,5.8823529
18.789211,5.8745098
18.880717,5.8666667
18.972446,5.8588235
19.064397,5.8470588
19.156571,5.8117647
19.248966,5.7686275
19.341584,5.7529412
19.434425,5.745098
